date,locality,site,bar,station,tran_length,elev_m
5/26/2010,LC,O,2,LCO2,2.5,
5/26/2010,LC,O,2,LCO2,5,
5/26/2010,LC,O,2,LCO2,7.5,
5/26/2010,LC,O,2,LCO2,10,
5/26/2010,LC,O,2,LCO2,12.5,
5/26/2010,LC,O,2,LCO2,14.3,
5/26/2010,LC,O,3,LCO3,2.5,
5/26/2010,LC,O,3,LCO3,5,
5/26/2010,LC,O,3,LCO3,7.5,
5/26/2010,LC,O,3,LCO3,10,
5/26/2010,LC,O,3,LCO3,12.5,
5/26/2010,LC,O,3,LCO3,15,
5/26/2010,LC,O,3,LCO3,17.5,
5/26/2010,LC,O,3,LCO3,20,
5/26/2010,LC,O,3,LCO3,21.3,
5/27/2010,CK,I,1,CKI1,17.5,-0.049
5/27/2010,CK,I,1,CKI1,2.5,-0.239
5/27/2010,CK,I,1,CKI1,7.5,0.011
5/27/2010,CK,I,1,CKI1,20,-0.014
5/27/2010,CK,I,1,CKI1,25,-0.204
5/27/2010,CK,I,1,CKI1,10,0.041
5/27/2010,CK,I,1,CKI1,12.5,0.031
5/27/2010,CK,I,1,CKI1,22.5,-0.049
5/27/2010,CK,I,1,CKI1,15,0.011
5/27/2010,CK,I,1,CKI1,5,0.051
5/27/2010,CK,I,2,CKI2,30,-0.259
5/27/2010,CK,I,2,CKI2,2.5,-0.324
5/27/2010,CK,I,2,CKI2,25,0.141
5/27/2010,CK,I,2,CKI2,5,-0.149
5/27/2010,CK,I,2,CKI2,17.5,0.011
5/27/2010,CK,I,2,CKI2,20,0.021
5/27/2010,CK,I,2,CKI2,7.5,-0.094
5/27/2010,CK,I,2,CKI2,27.5,-0.039
5/27/2010,CK,I,2,CKI2,22.5,0.016
5/27/2010,CK,I,2,CKI2,15,-0.019
5/27/2010,CK,I,2,CKI2,10,-0.069
5/27/2010,CK,I,2,CKI2,12.5,-0.009
5/27/2010,CK,I,3,CKI3,2.5,
5/27/2010,CK,I,3,CKI3,5,
5/27/2010,CK,I,3,CKI3,7.5,
5/27/2010,CK,I,3,CKI3,10,
5/27/2010,CK,I,3,CKI3,12.5,
5/27/2010,CK,I,3,CKI3,15,
5/27/2010,CK,I,3,CKI3,17.5,
5/27/2010,CK,I,3,CKI3,20,
5/27/2010,CK,I,3,CKI3,21.9,
5/27/2010,CK,N,1,CKN1,15.3,0.504
5/27/2010,CK,N,1,CKN1,7.5,0.824
5/27/2010,CK,N,1,CKN1,12.5,0.634
5/27/2010,CK,N,1,CKN1,10,0.669
5/27/2010,CK,N,1,CKN1,2.5,0.504
5/27/2010,CK,N,1,CKN1,5,0.724
5/27/2010,CK,N,1,CKN1,15,0.504
5/27/2010,CK,N,2,CKN2,30,-0.048
5/27/2010,CK,N,2,CKN2,32.5,-0.098
5/27/2010,CK,N,2,CKN2,27.5,-0.153
5/27/2010,CK,N,2,CKN2,25,-0.208
5/27/2010,CK,N,2,CKN2,22.5,-0.258
5/27/2010,CK,N,2,CKN2,20,-0.288
5/27/2010,CK,N,2,CKN2,17.5,-0.348
5/27/2010,CK,N,2,CKN2,15,-0.408
5/27/2010,CK,N,2,CKN2,37.5,-0.518
5/27/2010,CK,N,2,CKN2,7.5,-0.528
5/27/2010,CK,N,2,CKN2,5,-0.598
5/27/2010,CK,N,2,CKN2,2.5,-0.668
5/27/2010,CK,N,2,CKN2,12.5,-0.438
5/27/2010,CK,N,2,CKN2,10,-0.478
5/27/2010,CK,N,2,CKN2,40,-0.518
5/27/2010,CK,N,2,CKN2,41,-0.518
5/27/2010,CK,N,2,CKN2,35,-0.418
5/27/2010,CK,N,3,CKN3,7.5,-0.063
5/27/2010,CK,N,3,CKN3,5,-0.133
5/27/2010,CK,N,3,CKN3,2.5,-0.343
5/27/2010,CK,N,3,CKN3,16.5,-0.033
5/27/2010,CK,N,3,CKN3,10,0.928
5/27/2010,CK,N,3,CKN3,15,-0.033
5/27/2010,CK,N,3,CKN3,12.5,0.9305
5/27/2010,CK,O,1,CKO1,2.5,
5/27/2010,CK,O,1,CKO1,5,
5/27/2010,CK,O,1,CKO1,7.5,
5/27/2010,CK,O,1,CKO1,10,
5/27/2010,CK,O,1,CKO1,12.5,
5/27/2010,CK,O,1,CKO1,15,
5/27/2010,CK,O,1,CKO1,17.5,
5/27/2010,CK,O,1,CKO1,20,
5/27/2010,CK,O,1,CKO1,22.5,
5/27/2010,CK,O,1,CKO1,23.2,
5/27/2010,CK,O,2,CKO2,2.5,
5/27/2010,CK,O,2,CKO2,5,
5/27/2010,CK,O,2,CKO2,7.5,
5/27/2010,CK,O,2,CKO2,10,
5/27/2010,CK,O,2,CKO2,12.5,
5/27/2010,CK,O,2,CKO2,15,
5/27/2010,CK,O,2,CKO2,17.5,
5/27/2010,CK,O,2,CKO2,20,
5/27/2010,CK,O,2,CKO2,22.5,
5/27/2010,CK,O,2,CKO2,25,
5/27/2010,CK,O,2,CKO2,25.7,
5/27/2010,CK,O,3,CKO3,30,0.091
5/27/2010,CK,O,3,CKO3,27.5,0.051
5/27/2010,CK,O,3,CKO3,22.5,-0.004
5/27/2010,CK,O,3,CKO3,33,-0.029
5/27/2010,CK,O,3,CKO3,7.5,-0.449
5/27/2010,CK,O,3,CKO3,5,-0.459
5/27/2010,CK,O,3,CKO3,17.5,-0.089
5/27/2010,CK,O,3,CKO3,25,0.041
5/27/2010,CK,O,3,CKO3,20,-0.029
5/27/2010,CK,O,3,CKO3,15,-0.084
5/27/2010,CK,O,3,CKO3,10,-0.314
5/27/2010,CK,O,3,CKO3,12.5,-0.029
5/27/2010,CK,O,3,CKO3,2.5,
5/27/2010,CR,I,2,CRI2,12.5,-0.054
5/27/2010,CR,I,2,CRI2,15,-0.087
5/27/2010,CR,I,2,CRI2,10,-0.054
5/27/2010,CR,I,2,CRI2,18.6,-0.114
5/27/2010,CR,I,2,CRI2,7.5,-0.074
5/27/2010,CR,I,2,CRI2,2.5,-0.459
5/27/2010,CR,I,2,CRI2,17.5,-0.114
5/27/2010,CR,I,2,CRI2,5,-0.114
5/27/2010,CR,I,3,CRI3,10,-0.108
5/27/2010,CR,I,3,CRI3,7.5,-0.173
5/27/2010,CR,I,3,CRI3,2.5,-0.483
5/27/2010,CR,I,3,CRI3,14,-0.163
5/27/2010,CR,I,3,CRI3,12.5,-0.163
5/27/2010,CR,I,3,CRI3,5,-0.153
7/6/2010,CR,I,2,CRI2,7.5,-0.074
7/6/2010,CR,I,2,CRI2,10,-0.054
7/6/2010,CR,I,2,CRI2,12.5,-0.054
7/6/2010,CR,I,2,CRI2,18.6,-0.114
7/6/2010,CR,I,2,CRI2,5,-0.114
7/6/2010,CR,I,2,CRI2,15,-0.087
7/6/2010,CR,I,2,CRI2,2.5,-0.459
7/6/2010,CR,I,2,CRI2,17.5,-0.114
7/6/2010,CR,O,1,CRO1,15,0.388
7/6/2010,CR,O,1,CRO1,17.5,0.348
7/6/2010,CR,O,1,CRO1,12.5,0.308
7/6/2010,CR,O,1,CRO1,20,0.268
7/6/2010,CR,O,1,CRO1,10,0.248
7/6/2010,CR,O,1,CRO1,22.5,0.233
7/6/2010,CR,O,1,CRO1,25,0.168
7/6/2010,CR,O,1,CRO1,27.5,0.148
