,date,locality,site,bar,station,tran_length,elev_m
550,7/8/2010,LC,N,2,LCN2,10,0.226
547,7/8/2010,LC,N,2,LCN2,12.5,0.236
544,7/8/2010,LC,N,2,LCN2,15,0.266
543,7/8/2010,LC,N,2,LCN2,17.5,0.106
1497,12/7/2010,LC,N,6,LCN6,2.5,-0.61
1502,12/7/2010,LC,N,6,LCN6,5,-0.28
1498,12/7/2010,LC,N,6,LCN6,7.5,-0.1
1491,12/7/2010,LC,N,6,LCN6,10,-0.01
1492,12/7/2010,LC,N,6,LCN6,12.5,-0.04
1501,12/7/2010,LC,N,6,LCN6,15,-0.08
1499,12/7/2010,LC,N,6,LCN6,17.5,-0.19
1503,12/7/2010,LC,N,6,LCN6,20,-0.3
1493,12/7/2010,LC,N,6,LCN6,22.5,-0.35
1500,12/7/2010,LC,N,6,LCN6,25,-0.41
1494,12/7/2010,LC,N,6,LCN6,27.5,-0.445
1495,12/7/2010,LC,N,6,LCN6,30,-0.52
1496,12/7/2010,LC,N,6,LCN6,32.6,-0.6
561,7/8/2010,LC,N,9,LCN9,2.5,-0.165
565,7/8/2010,LC,N,9,LCN9,5,-0.12
560,7/8/2010,LC,N,9,LCN9,7.5,-0.105
559,7/8/2010,LC,N,9,LCN9,10,-0.055
569,7/8/2010,LC,N,9,LCN9,12.5,-0.035
572,7/8/2010,LC,N,9,LCN9,15,0.125
571,7/8/2010,LC,N,9,LCN9,17.5,-0.055
563,7/8/2010,LC,N,9,LCN9,20,-0.115
568,7/8/2010,LC,N,9,LCN9,22.5,-0.145
570,7/8/2010,LC,N,9,LCN9,25,-0.165
566,7/8/2010,LC,N,9,LCN9,27.5,-0.2
567,7/8/2010,LC,N,9,LCN9,30,-0.245
564,7/8/2010,LC,N,9,LCN9,32.5,-0.255
562,7/8/2010,LC,N,9,LCN9,36,-0.305
