"","station","month_num","year","side","cnt"
"339","WQ7","6",2019,"BOTTOM",24
"340","WQ7","6",2019,"SIDE",0
"341","WQ8","6",2019,"TOP",6
"342","WQ8","6",2019,"BOTTOM",143
"343","WQ8","6",2019,"SIDE",0
"344","WQ9","6",2019,"TOP",0
"345","WQ9","6",2019,"BOTTOM",24
"346","WQ9","6",2019,"SIDE",0
"347","WQ1","7",2019,"TOP",0
"348","WQ1","7",2019,"BOTTOM",15
"349","WQ1","7",2019,"SIDE",0
"350","WQ10","7",2019,"TOP",0
"351","WQ10","7",2019,"BOTTOM",9
"352","WQ10","7",2019,"SIDE",1
"353","WQ2","7",2019,"TOP",0
"354","WQ2","7",2019,"BOTTOM",18
"355","WQ2","7",2019,"SIDE",0
"356","WQ3","7",2019,"TOP",0
"357","WQ3","7",2019,"BOTTOM",10
"358","WQ3","7",2019,"SIDE",3
"359","WQ4","7",2019,"TOP",0
"360","WQ4","7",2019,"BOTTOM",0
"361","WQ4","7",2019,"SIDE",0
"362","WQ5","7",2019,"TOP",0
"363","WQ5","7",2019,"BOTTOM",0
"364","WQ5","7",2019,"SIDE",0
"365","WQ6","7",2019,"TOP",0
"366","WQ6","7",2019,"BOTTOM",11
"367","WQ6","7",2019,"SIDE",0
"369","WQ8","7",2019,"TOP",20
"370","WQ8","7",2019,"BOTTOM",96
"371","WQ8","7",2019,"SIDE",0
"372","WQ9","7",2019,"TOP",0
"373","WQ9","7",2019,"BOTTOM",17
"374","WQ9","7",2019,"SIDE",0
"375","WQ1","8",2019,"TOP",0
"376","WQ1","8",2019,"BOTTOM",103
"377","WQ1","8",2019,"SIDE",0
"378","WQ10","8",2019,"TOP",3
"379","WQ10","8",2019,"BOTTOM",48
"380","WQ10","8",2019,"SIDE",5
"381","WQ2","8",2019,"TOP",0
"382","WQ2","8",2019,"BOTTOM",4
"383","WQ2","8",2019,"SIDE",0
"384","WQ3","8",2019,"TOP",0
"385","WQ3","8",2019,"BOTTOM",6
"386","WQ3","8",2019,"SIDE",1
"387","WQ4","8",2019,"TOP",0
"388","WQ4","8",2019,"BOTTOM",0
"389","WQ4","8",2019,"SIDE",0
"390","WQ5","8",2019,"TOP",3
"391","WQ5","8",2019,"BOTTOM",17
"392","WQ5","8",2019,"SIDE",0
"393","WQ6","8",2019,"TOP",0
"394","WQ6","8",2019,"BOTTOM",1
"395","WQ6","8",2019,"SIDE",0
"396","WQ7","8",2019,"TOP",0
"397","WQ7","8",2019,"BOTTOM",96
"398","WQ7","8",2019,"SIDE",0
"399","WQ8","8",2019,"TOP",5
"400","WQ8","8",2019,"BOTTOM",171
"401","WQ8","8",2019,"SIDE",0
"403","WQ1","9",2019,"TOP",0
"404","WQ1","9",2019,"BOTTOM",7
"405","WQ1","9",2019,"SIDE",0
"406","WQ10","9",2019,"TOP",0
"407","WQ10","9",2019,"BOTTOM",0
"408","WQ10","9",2019,"SIDE",0
"409","WQ2","9",2019,"TOP",0
"410","WQ2","9",2019,"BOTTOM",0
"411","WQ2","9",2019,"SIDE",0
"412","WQ3","9",2019,"TOP",0
"413","WQ3","9",2019,"BOTTOM",0
"414","WQ3","9",2019,"SIDE",0
"415","WQ4","9",2019,"TOP",0
"416","WQ4","9",2019,"BOTTOM",0
"417","WQ4","9",2019,"SIDE",0
"418","WQ5","9",2019,"TOP",0
"419","WQ5","9",2019,"BOTTOM",0
"420","WQ5","9",2019,"SIDE",0
"421","WQ6","9",2019,"TOP",0
"422","WQ6","9",2019,"BOTTOM",1
"423","WQ6","9",2019,"SIDE",0
"424","WQ7","9",2019,"TOP",0
"425","WQ7","9",2019,"BOTTOM",9
"426","WQ7","9",2019,"SIDE",0
"427","WQ8","9",2019,"TOP",0
"428","WQ8","9",2019,"BOTTOM",4
"429","WQ8","9",2019,"SIDE",0
"431","WQ1","11",2019,"TOP",0
"432","WQ1","11",2019,"BOTTOM",0
"433","WQ1","11",2019,"SIDE",0
