field_point,easting,northing,elev_m,date,year,month,day,locality,site,bar,station,transect,tran_length,collector
LCIGCP2,299370.172,3236550.04,-0.003,10/25/2018,2018,10,25,LC,I,-999,N_A,-999,-999,UF
LCIGCP3,298939.227,3236827.125,0.187,10/25/2018,2018,10,25,LC,I,-999,N_A,-999,-999,UF
LCIGCP4,299418.469,3237020.079,-0.104,10/25/2018,2018,10,25,LC,I,-999,N_A,-999,-999,UF
LCIGCP5,299174.702,3236588.063,0.003,10/25/2018,2018,10,25,LC,I,-999,N_A,-999,-999,UF
LTGCP1,298834.498,3239278.659,-0.061,10/24/2018,2018,10,24,LT,I,-999,N_A,-999,-999,UF
LTGCP2,299066.142,3239516.287,-0.369,1/24/2019,2019,1,24,LT,I,-999,N_A,-999,-999,UF
LTGCP3,298949.487,3239186.128,-0.246,10/24/2018,2018,10,24,LT,I,-999,N_A,-999,-999,UF
LTGCP4,298988.209,3239400.421,-0.295,1/24/2019,2019,1,24,LT,I,-999,N_A,-999,-999,UF
LTGCP5,298829.855,3239108.236,-0.078,10/24/2018,2018,10,24,LT,I,-999,N_A,-999,-999,UF
LTI1-0,298700.602,3239247.128,-1.077,1/24/2019,2019,1,24,LT,I,1,LTI1,1,0,UF
LTI1-1,298701.893,3239244.91,-1.012,1/24/2019,2019,1,24,LT,I,1,LTI1,1,2.5,UF
LTI1-2,298703.29,3239242.807,-0.951,1/24/2019,2019,1,24,LT,I,1,LTI1,1,5,UF
LTI1-3,298704.674,3239240.661,-0.974,1/24/2019,2019,1,24,LT,I,1,LTI1,1,7.5,UF
LTI1-4,298706.054,3239238.54,-0.999,1/24/2019,2019,1,24,LT,I,1,LTI1,1,10,UF
LTI1-5,298707.46,3239236.465,-0.924,1/24/2019,2019,1,24,LT,I,1,LTI1,1,12.5,UF
LTI1-6,298708.84,3239234.38,-0.951,1/24/2019,2019,1,24,LT,I,1,LTI1,1,15,UF
LTI1-7,298710.335,3239232.395,-0.987,1/24/2019,2019,1,24,LT,I,1,LTI1,1,17.5,UF
LTI1-8,298711.781,3239230.338,-0.987,1/24/2019,2019,1,24,LT,I,1,LTI1,1,20,UF
LTI1-9,298713.323,3239228.206,-0.922,1/24/2019,2019,1,24,LT,I,1,LTI1,1,22.5,UF
LTI1-10,298714.862,3239226.024,-1.075,1/24/2019,2019,1,24,LT,I,1,LTI1,1,25,UF
LTI1-11,298716.471,3239224.064,-1.13,1/24/2019,2019,1,24,LT,I,1,LTI1,1,27.5,UF
LTI1-12,298717.501,3239222.529,-1.154,1/24/2019,2019,1,24,LT,I,1,LTI1,1,29.8,UF
LTI2-0,298799.236,3239144.506,-1.085,1/24/2019,2019,1,24,LT,I,2,LTI2,1,0,UF
LTI2-1,298801.121,3239142.987,-1.06,1/24/2019,2019,1,24,LT,I,2,LTI2,1,2.5,UF
LTI2-2,298803.13,3239141.572,-1.012,1/24/2019,2019,1,24,LT,I,2,LTI2,1,5,UF
LTI2-3,298805.166,3239140.095,-1.029,1/24/2019,2019,1,24,LT,I,2,LTI2,1,7.5,UF
LTI2-4,298807.265,3239138.773,-0.938,1/24/2019,2019,1,24,LT,I,2,LTI2,1,10,UF
LTI2-5,298809.379,3239137.406,-0.995,1/24/2019,2019,1,24,LT,I,2,LTI2,1,12.5,UF
LTI2-6,298811.529,3239136.188,-0.96,1/24/2019,2019,1,24,LT,I,2,LTI2,1,15,UF
LTI2-7,298813.684,3239134.824,-0.991,1/24/2019,2019,1,24,LT,I,2,LTI2,1,17.5,UF
LTI2-8,298815.818,3239133.486,-1.007,1/24/2019,2019,1,24,LT,I,2,LTI2,1,20,UF
LTI2-9,298818.124,3239132.125,-0.99,1/24/2019,2019,1,24,LT,I,2,LTI2,1,22.68,UF
LTI3-0,298915.941,3239233.901,-0.42,1/24/2019,2019,1,24,LT,I,3,LTI3,1,0,UF
LTI3-1,298915.839,3239231.423,-0.4,1/24/2019,2019,1,24,LT,I,3,LTI3,1,2.5,UF
LTI3-2,298915.47,3239228.983,-0.32,1/24/2019,2019,1,24,LT,I,3,LTI3,1,5,UF
LTI3-3,298915.205,3239226.502,-0.401,1/24/2019,2019,1,24,LT,I,3,LTI3,1,7.5,UF
LTI3-4,298914.868,3239224.068,-0.502,1/24/2019,2019,1,24,LT,I,3,LTI3,1,10,UF
LTI3-5,298914.538,3239221.582,-0.494,1/24/2019,2019,1,24,LT,I,3,LTI3,1,12.5,UF
LTI3-6,298914.412,3239219.129,-0.506,1/24/2019,2019,1,24,LT,I,3,LTI3,1,15,UF
LTI3-7,298914.187,3239216.631,-0.401,1/24/2019,2019,1,24,LT,I,3,LTI3,1,17.5,UF
LTI3-8,298914.033,3239214.172,-0.529,1/24/2019,2019,1,24,LT,I,3,LTI3,1,20,UF
LTI3-9,298913.886,3239211.672,-0.245,1/24/2019,2019,1,24,LT,I,3,LTI3,1,22.5,UF
LTI3-10,298913.82,3239209.191,-0.196,1/24/2019,2019,1,24,LT,I,3,LTI3,1,25,UF
LTI3-11,298913.757,3239206.675,-0.37,1/24/2019,2019,1,24,LT,I,3,LTI3,1,27.5,UF
LTI3-12,298913.555,3239204.208,-0.69,1/24/2019,2019,1,24,LT,I,3,LTI3,1,30,UF
LTI3-13,298913.623,3239201.745,-0.736,1/24/2019,2019,1,24,LT,I,3,LTI3,1,32.5,UF
LTI3-14,298913.798,3239199.257,-0.754,1/24/2019,2019,1,24,LT,I,3,LTI3,1,35,UF
LTI3-15,298914.033,3239196.786,-0.857,1/24/2019,2019,1,24,LT,I,3,LTI3,1,37.5,UF
LTI4-0,298873.004,3239371.039,-0.93,1/24/2019,2019,1,24,LT,I,4,LTI4,1,0,UF
LTI4-1,298872.805,3239368.524,-0.623,1/24/2019,2019,1,24,LT,I,4,LTI4,1,2.5,UF
LTI4-2,298872.513,3239366.069,-0.508,1/24/2019,2019,1,24,LT,I,4,LTI4,1,5,UF
LTI4-3,298872.207,3239363.622,-0.458,1/24/2019,2019,1,24,LT,I,4,LTI4,1,7.5,UF
LTI4-4,298871.922,3239361.127,-0.502,1/24/2019,2019,1,24,LT,I,4,LTI4,1,10,UF
LTI4-5,298871.752,3239358.654,-0.445,1/24/2019,2019,1,24,LT,I,4,LTI4,1,12.5,UF
LTI4-6,298871.73,3239356.192,-0.463,1/24/2019,2019,1,24,LT,I,4,LTI4,1,15,UF
LTI4-7,298871.612,3239353.683,-0.491,1/24/2019,2019,1,24,LT,I,4,LTI4,1,17.5,UF
LTI4-8,298871.497,3239351.195,-0.434,1/24/2019,2019,1,24,LT,I,4,LTI4,1,20,UF
LTI4-9,298871.29,3239348.709,-0.518,1/24/2019,2019,1,24,LT,I,4,LTI4,1,22.5,UF
LTI4-10,298871.327,3239346.234,-0.532,1/24/2019,2019,1,24,LT,I,4,LTI4,1,25,UF
LTI4-11,298871.485,3239343.732,-0.547,1/24/2019,2019,1,24,LT,I,4,LTI4,1,27.5,UF
LTI4-12,298871.477,3239341.249,-0.672,1/24/2019,2019,1,24,LT,I,4,LTI4,1,30,UF
LTI4-13,298871.563,3239338.798,-0.98,1/24/2019,2019,1,24,LT,I,4,LTI4,1,32.5,UF
LTI4-14,298871.776,3239336.192,-1.106,1/24/2019,2019,1,24,LT,I,4,LTI4,1,34.84,UF
LTI5-1-0,298794.318,3239348.751,-0.861,1/24/2019,2019,1,24,LT,I,5,LTI5,1,0,UF
LTI5-1-1,298796.811,3239348.682,-0.797,1/24/2019,2019,1,24,LT,I,5,LTI5,1,2.5,UF
LTI5-1-2,298796.795,3239348.567,-0.742,1/24/2019,2019,1,24,LT,I,5,LTI5,1,5,UF
LTI5-1-3,298799.265,3239348.397,-0.59,1/24/2019,2019,1,24,LT,I,5,LTI5,1,7.5,UF
LTI5-1-4,298801.794,3239348.352,-0.481,1/24/2019,2019,1,24,LT,I,5,LTI5,1,10,UF
LTI5-1-5,298806.74,3239348.089,-0.773,1/24/2019,2019,1,24,LT,I,5,LTI5,1,12.5,UF
LTI5-1-6,298809.207,3239348.14,-0.918,1/24/2019,2019,1,24,LT,I,5,LTI5,1,15,UF
LTI5-1-7,298811.691,3239348.224,-1.012,1/24/2019,2019,1,24,LT,I,5,LTI5,1,17.5,UF
LTI5-1-8,298814.301,3239348.525,-1.073,1/24/2019,2019,1,24,LT,I,5,LTI5,1,20,UF
LTI5-2-0,298797.9,3239339.969,-1.053,1/24/2019,2019,1,24,LT,I,5,LTI5,2,0,UF
LTI5-2-1,298800.421,3239339.857,-0.981,1/24/2019,2019,1,24,LT,I,5,LTI5,2,2.5,UF
LTI5-2-2,298802.893,3239339.757,-0.73,1/24/2019,2019,1,24,LT,I,5,LTI5,2,5,UF
LTI5-2-3,298805.397,3239339.776,-0.772,1/24/2019,2019,1,24,LT,I,5,LTI5,2,7.5,UF
LTI5-2-4,298807.854,3239339.622,-0.715,1/24/2019,2019,1,24,LT,I,5,LTI5,2,10,UF
LTI5-2-5,298810.301,3239339.471,-0.795,1/24/2019,2019,1,24,LT,I,5,LTI5,2,12.5,UF
