field_pt,date,year,month,day,locality,site,bar,station,transect,tran_length,easting,northing,elev_m,collector,type,gear
LCGCP2,10/25/2018,2018,10,25,LC,I,-999,N_A,-999,-999,298751.345,3235727.804,-0.003,UF,DRONE,TRIMBLE_5800_RTK
LCGCP3,10/25/2018,2018,10,25,LC,I,-999,N_A,-999,-999,298325.42,3236012.637,0.187,UF,DRONE,TRIMBLE_5800_RTK
LCGCP4,10/25/2018,2018,10,25,LC,I,-999,N_A,-999,-999,298808.109,3236196.943,-0.104,UF,DRONE,TRIMBLE_5800_RTK
LCGCP5,10/25/2018,2018,10,25,LC,I,-999,N_A,-999,-999,298556.572,3235769.346,0.003,UF,DRONE,TRIMBLE_5800_RTK
LTGCP1,10/24/2018,2018,10,24,LT,I,-999,N_A,-999,-999,298264.873,3238465.89,-0.091,UF,DRONE,TRIMBLE_5800_RTK
LTGCP3,10/24/2018,2018,10,24,LT,I,-999,N_A,-999,-999,298378.183,3238371.311,-0.341,UF,DRONE,TRIMBLE_5800_RTK
LTGCP5,10/24/2018,2018,10,24,LT,I,-999,N_A,-999,-999,298257.153,3238295.554,-0.103,UF,DRONE,TRIMBLE_5800_RTK
LTGCP2,1/24/2019,2019,1,24,LT,I,-999,N_A,-999,-999,298500.788,3238699.353,-0.134,UF,DRONE,TRIMBLE_5800_RTK
LTGCP4,1/24/2019,2019,1,24,LT,I,-999,N_A,-999,-999,298420.777,3238584.897,-0.073,UF,DRONE,TRIMBLE_5800_RTK
LTI1-0,1/24/2019,2019,1,24,LT,I,1,LTI1,1,0,298130.414,3238436.82,-0.888,UF,REEF,TRIMBLE_5800_RTK
LTI1-1,1/24/2019,2019,1,24,LT,I,1,LTI1,1,2.5,298131.679,3238434.581,-0.831,UF,REEF,TRIMBLE_5800_RTK
LTI1-2,1/24/2019,2019,1,24,LT,I,1,LTI1,1,5,298133.034,3238432.455,-0.783,UF,REEF,TRIMBLE_5800_RTK
LTI1-3,1/24/2019,2019,1,24,LT,I,1,LTI1,1,7.5,298134.399,3238430.285,-0.778,UF,REEF,TRIMBLE_5800_RTK
LTI1-4,1/24/2019,2019,1,24,LT,I,1,LTI1,1,10,298135.73,3238428.133,-0.809,UF,REEF,TRIMBLE_5800_RTK
LTI1-5,1/24/2019,2019,1,24,LT,I,1,LTI1,1,12.5,298137.104,3238426.04,-0.733,UF,REEF,TRIMBLE_5800_RTK
LTI1-6,1/24/2019,2019,1,24,LT,I,1,LTI1,1,15,298138.452,3238423.915,-0.726,UF,REEF,TRIMBLE_5800_RTK
LTI1-7,1/24/2019,2019,1,24,LT,I,1,LTI1,1,17.5,298139.915,3238421.9,-0.762,UF,REEF,TRIMBLE_5800_RTK
LTI1-8,1/24/2019,2019,1,24,LT,I,1,LTI1,1,20,298141.338,3238419.827,-0.734,UF,REEF,TRIMBLE_5800_RTK
LTI1-9,1/24/2019,2019,1,24,LT,I,1,LTI1,1,22.5,298142.823,3238417.645,-0.717,UF,REEF,TRIMBLE_5800_RTK
LTI1-10,1/24/2019,2019,1,24,LT,I,1,LTI1,1,25,298144.332,3238415.44,-0.805,UF,REEF,TRIMBLE_5800_RTK
LTI1-11,1/24/2019,2019,1,24,LT,I,1,LTI1,1,27.5,298145.915,3238413.457,-0.861,UF,REEF,TRIMBLE_5800_RTK
LTI1-12,1/24/2019,2019,1,24,LT,I,1,LTI1,1,29.8,298146.917,3238411.904,-0.877,UF,REEF,TRIMBLE_5800_RTK
LTI2-0,1/24/2019,2019,1,24,LT,I,2,LTI2,1,0,298227.231,3238332.396,-0.804,UF,REEF,TRIMBLE_5800_RTK
LTI2-1,1/24/2019,2019,1,24,LT,I,2,LTI2,1,2.5,298229.083,3238330.838,-0.807,UF,REEF,TRIMBLE_5800_RTK
LTI2-2,1/24/2019,2019,1,24,LT,I,2,LTI2,1,5,298231.059,3238329.392,-0.785,UF,REEF,TRIMBLE_5800_RTK
LTI2-3,1/24/2019,2019,1,24,LT,I,2,LTI2,1,7.5,298233.072,3238327.883,-0.795,UF,REEF,TRIMBLE_5800_RTK
LTI2-4,1/24/2019,2019,1,24,LT,I,2,LTI2,1,10,298235.144,3238326.532,-0.696,UF,REEF,TRIMBLE_5800_RTK
LTI2-5,1/24/2019,2019,1,24,LT,I,2,LTI2,1,12.5,298237.204,3238325.117,-0.772,UF,REEF,TRIMBLE_5800_RTK
LTI2-6,1/24/2019,2019,1,24,LT,I,2,LTI2,1,15,298239.352,3238323.873,-0.736,UF,REEF,TRIMBLE_5800_RTK
LTI2-7,1/24/2019,2019,1,24,LT,I,2,LTI2,1,17.5,298241.487,3238322.475,-0.724,UF,REEF,TRIMBLE_5800_RTK
LTI2-8,1/24/2019,2019,1,24,LT,I,2,LTI2,1,20,298243.599,3238321.097,-0.756,UF,REEF,TRIMBLE_5800_RTK
LTI2-9,1/24/2019,2019,1,24,LT,I,2,LTI2,1,22.68,298245.875,3238319.687,-0.761,UF,REEF,TRIMBLE_5800_RTK
LTI3-0,1/24/2019,2019,1,24,LT,I,3,LTI3,1,0,298345.517,3238419.686,-0.194,UF,REEF,TRIMBLE_5800_RTK
LTI3-1,1/24/2019,2019,1,24,LT,I,3,LTI3,1,2.5,298345.379,3238417.213,-0.183,UF,REEF,TRIMBLE_5800_RTK
LTI3-2,1/24/2019,2019,1,24,LT,I,3,LTI3,1,5,298344.961,3238414.78,-0.102,UF,REEF,TRIMBLE_5800_RTK
LTI3-3,1/24/2019,2019,1,24,LT,I,3,LTI3,1,7.5,298344.646,3238412.295,-0.179,UF,REEF,TRIMBLE_5800_RTK
LTI3-4,1/24/2019,2019,1,24,LT,I,3,LTI3,1,10,298344.265,3238409.868,-0.262,UF,REEF,TRIMBLE_5800_RTK
LTI3-5,1/24/2019,2019,1,24,LT,I,3,LTI3,1,12.5,298343.895,3238407.396,-0.267,UF,REEF,TRIMBLE_5800_RTK
LTI3-6,1/24/2019,2019,1,24,LT,I,3,LTI3,1,15,298343.721,3238404.947,-0.287,UF,REEF,TRIMBLE_5800_RTK
LTI3-7,1/24/2019,2019,1,24,LT,I,3,LTI3,1,17.5,298343.461,3238402.441,-0.186,UF,REEF,TRIMBLE_5800_RTK
LTI3-8,1/24/2019,2019,1,24,LT,I,3,LTI3,1,20,298343.252,3238399.979,-0.299,UF,REEF,TRIMBLE_5800_RTK
LTI3-9,1/24/2019,2019,1,24,LT,I,3,LTI3,1,22.5,298343.06,3238397.501,-0.302,UF,REEF,TRIMBLE_5800_RTK
LTI3-10,1/24/2019,2019,1,24,LT,I,3,LTI3,1,25,298342.955,3238395.024,-0.243,UF,REEF,TRIMBLE_5800_RTK
LTI3-11,1/24/2019,2019,1,24,LT,I,3,LTI3,1,27.5,298342.831,3238392.502,-0.421,UF,REEF,TRIMBLE_5800_RTK
LTI3-12,1/24/2019,2019,1,24,LT,I,3,LTI3,1,30,298342.598,3238390.043,-0.46,UF,REEF,TRIMBLE_5800_RTK
LTI3-13,1/24/2019,2019,1,24,LT,I,3,LTI3,1,32.5,298342.621,3238387.587,-0.495,UF,REEF,TRIMBLE_5800_RTK
LTI3-14,1/24/2019,2019,1,24,LT,I,3,LTI3,1,35,298342.753,3238385.094,-0.503,UF,REEF,TRIMBLE_5800_RTK
LTI3-15,1/24/2019,2019,1,24,LT,I,3,LTI3,1,37.5,298342.945,3238382.611,-0.622,UF,REEF,TRIMBLE_5800_RTK
LTI4-0,1/24/2019,2019,1,24,LT,I,4,LTI4,1,0,298305.041,3238557.595,-0.644,UF,REEF,TRIMBLE_5800_RTK
LTI4-1,1/24/2019,2019,1,24,LT,I,4,LTI4,1,2.5,298304.795,3238555.079,-0.345,UF,REEF,TRIMBLE_5800_RTK
LTI4-2,1/24/2019,2019,1,24,LT,I,4,LTI4,1,5,298304.465,3238552.618,-0.226,UF,REEF,TRIMBLE_5800_RTK
LTI4-3,1/24/2019,2019,1,24,LT,I,4,LTI4,1,7.5,298304.111,3238550.174,-0.187,UF,REEF,TRIMBLE_5800_RTK
LTI4-4,1/24/2019,2019,1,24,LT,I,4,LTI4,1,10,298303.778,3238547.67,-0.212,UF,REEF,TRIMBLE_5800_RTK
LTI4-5,1/24/2019,2019,1,24,LT,I,4,LTI4,1,12.5,298303.569,3238545.206,-0.151,UF,REEF,TRIMBLE_5800_RTK
LTI4-6,1/24/2019,2019,1,24,LT,I,4,LTI4,1,15,298303.497,3238542.745,-0.15,UF,REEF,TRIMBLE_5800_RTK
LTI4-7,1/24/2019,2019,1,24,LT,I,4,LTI4,1,17.5,298303.331,3238540.242,-0.205,UF,REEF,TRIMBLE_5800_RTK
LTI4-8,1/24/2019,2019,1,24,LT,I,4,LTI4,1,20,298303.171,3238537.754,-0.151,UF,REEF,TRIMBLE_5800_RTK
LTI4-9,1/24/2019,2019,1,24,LT,I,4,LTI4,1,22.5,298302.918,3238535.268,-0.211,UF,REEF,TRIMBLE_5800_RTK
LTI4-10,1/24/2019,2019,1,24,LT,I,4,LTI4,1,25,298302.912,3238532.778,-0.216,UF,REEF,TRIMBLE_5800_RTK
LTI4-11,1/24/2019,2019,1,24,LT,I,4,LTI4,1,27.5,298303.02,3238530.292,-0.264,UF,REEF,TRIMBLE_5800_RTK
LTI4-12,1/24/2019,2019,1,24,LT,I,4,LTI4,1,30,298302.98,3238527.811,-0.396,UF,REEF,TRIMBLE_5800_RTK
LTI4-13,1/24/2019,2019,1,24,LT,I,4,LTI4,1,32.5,298303.026,3238525.347,-0.671,UF,REEF,TRIMBLE_5800_RTK
LTI4-14,1/24/2019,2019,1,24,LT,I,4,LTI4,1,34.84,298303.19,3238522.725,-0.79,UF,REEF,TRIMBLE_5800_RTK
LTI5-1-0,1/24/2019,2019,1,24,LT,I,5,LTI5,1,0,298225.963,3238536.727,-0.522,UF,REEF,TRIMBLE_5800_RTK
LTI5-1-1,1/24/2019,2019,1,24,LT,I,5,LTI5,1,2.5,298228.457,3238536.614,-0.462,UF,REEF,TRIMBLE_5800_RTK
LTI5-1-2,1/24/2019,2019,1,24,LT,I,5,LTI5,1,5,298228.474,3238536.491,-0.425,UF,REEF,TRIMBLE_5800_RTK
LTI5-1-3,1/24/2019,2019,1,24,LT,I,5,LTI5,1,7.5,298230.939,3238536.317,-0.289,UF,REEF,TRIMBLE_5800_RTK
