"","FID","Id","ORIG_FID","LENGTH","START_X","START_Y","MID_X","MID_Y","END_X","END_Y"
"2319",5355,0,1677,21.51022946,297873.9207,3239491.733,297884.6758,3239491.733,297895.4309,3239491.733
"1088",4124,0,1123,12.27419025,298532.4555,3237709.733,298538.5926,3237709.733,298544.7297,3237709.733
"4659",10633,0,2645,19.84053313,299260.4375,3235920.006,299260.4375,3235929.927,299260.4375,3235939.847
"1240",4276,0,1207,19.66503809,298296.6576,3238165.733,298306.4901,3238165.733,298316.3226,3238165.733
"3089",6289,0,2018,13.00319835,297960.4375,3239428.929,297960.4375,3239435.431,297960.4375,3239441.933
"4408",10382,0,2578,79.5388529,299126.4375,3235901.819,299126.4375,3235941.588,299126.4375,3235981.358
"36",410,0,248,20.18126303,298861.3114,3235445.733,298871.402,3235445.733,298881.4927,3235445.733
"3704",7851,0,2260,17.23239172,298444.4375,3237179.051,298444.4375,3237187.668,298444.4375,3237196.284
"3420",7190,0,2206,10.52216527,298336.4375,3238191.7,298336.4375,3238196.961,298336.4375,3238202.222
"813",3849,0,1000,9.181195552,298532.3326,3237141.733,298536.9232,3237141.733,298541.5138,3237141.733
"317",1438,0,473,17.84839996,299147.9659,3235899.733,299156.8901,3235899.733,299165.8143,3235899.733
"432",1678,0,504,87.25328315,299106.1035,3235961.733,299149.7301,3235961.733,299193.3568,3235961.733
"715",2410,0,585,48.59384139,299272.1416,3236123.733,299296.4386,3236123.733,299320.7355,3236123.733
"3506",7482,0,2229,7.092275205,298382.4375,3238108.399,298382.4375,3238111.945,298382.4375,3238115.491
"3695",7829,0,2258,34.97897799,298440.4375,3238635.34,298440.4375,3238652.83,298440.4375,3238670.319
"3939",8279,0,2287,22.0387077,298498.4375,3237647.616,298498.4375,3237658.635,298498.4375,3237669.655
"251",1240,0,431,29.55039163,299295.5985,3235811.733,299310.3737,3235811.733,299325.1489,3235811.733
"221",810,0,339,34.72730892,299039.0015,3235627.733,299056.3652,3235627.733,299073.7288,3235627.733
"994",4030,0,1079,14.79520115,298607.4881,3237299.733,298614.8857,3237299.733,298622.2833,3237299.733
"4733",10707,0,2663,84.29622659,299296.4375,3235918.657,299296.4375,3235960.805,299296.4375,3236002.953
"937",3973,0,1034,8.307263904,298379.8738,3237209.733,298384.0274,3237209.733,298388.181,3237209.733
"2667",5703,0,1871,15.97022955,297666.4375,3239686.725,297666.4375,3239694.71,297666.4375,3239702.695
"950",3986,0,1039,20.04611246,298520.644,3237219.733,298530.667,3237219.733,298540.6901,3237219.733
"771",3807,0,988,17.03398344,298513.9323,3237117.733,298522.4493,3237117.733,298530.9663,3237117.733
"3788",8019,0,2271,31.1334998,298466.4375,3238479.615,298466.4375,3238495.182,298466.4375,3238510.748
"14",361,0,226,30.71281486,298859.5991,3235401.733,298874.9555,3235401.733,298890.3119,3235401.733
"618",2186,0,558,7.923699912,299111.786,3236069.733,299115.7478,3236069.733,299119.7097,3236069.733
"2380",5416,0,1708,47.79247508,297777.9735,3239553.733,297801.8698,3239553.733,297825.766,3239553.733
"4742",10716,0,2664,12.12541013,299298.4375,3236117.293,299298.4375,3236123.355,299298.4375,3236129.418
"4297",10271,0,2544,7.819318657,299058.4375,3235917.262,299058.4375,3235921.172,299058.4375,3235925.081
"2928",6055,0,1949,22.1420928,297822.4375,3239533.568,297822.4375,3239544.639,297822.4375,3239555.71
"2635",5671,0,1861,19.41503671,297646.4375,3239590.644,297646.4375,3239600.352,297646.4375,3239610.06
"3848",8125,0,2278,8.0251554,298480.4375,3237163.561,298480.4375,3237167.573,298480.4375,3237171.586
"4167",8980,0,2332,13.44205451,298588.4375,3237269.095,298588.4375,3237275.816,298588.4375,3237282.537
"4795",10769,0,2672,17.69707771,299314.4375,3236059.08,299314.4375,3236067.929,299314.4375,3236076.777
"2305",5341,0,1674,22.93596079,297613.4826,3239485.733,297624.9506,3239485.733,297636.4186,3239485.733
"3262",6871,0,2178,10.71563049,298280.4375,3238640.541,298280.4375,3238645.898,298280.4375,3238651.256
"566",2051,0,542,15.55977185,299270.6138,3236037.733,299278.3937,3236037.733,299286.1736,3236037.733
"1687",4723,0,1403,23.15022346,298396.8318,3238683.733,298408.4069,3238683.733,298419.982,3238683.733
"4442",10416,0,2588,48.59867654,299146.4375,3235545.69,299146.4375,3235569.99,299146.4375,3235594.289
"4089",8702,0,2314,17.44812425,298552.4375,3237229.926,298552.4375,3237238.65,298552.4375,3237247.374
"1619",4655,0,1373,11.5302099,298396.7993,3238623.733,298402.5644,3238623.733,298408.3295,3238623.733
"3142",6632,0,2136,16.00246702,298196.4375,3238428.071,298196.4375,3238436.073,298196.4375,3238444.074
"3995",8400,0,2295,11.74597373,298514.4375,3237143.224,298514.4375,3237149.097,298514.4375,3237154.97
"1369",4405,0,1281,23.97621287,298407.8359,3238439.733,298419.824,3238439.733,298431.8121,3238439.733
