"","FID","Id","ORIG_FID","LENGTH","START_X","START_Y","MID_X","MID_Y","END_X","END_Y"
"3639",6977,0,2190,31.86581444,298304.4375,3236226.375,298304.4375,3236242.308,298304.4375,3236258.241
"5098",9390,0,2375,15.35017606,298674.4375,3236141.981,298674.4375,3236149.656,298674.4375,3236157.331
"3406",6554,0,2116,25.74536816,298156.4375,3235854.264,298156.4375,3235867.137,298156.4375,3235880.009
"1666",2394,0,583,20.08429625,298693.055,3236119.733,298703.0971,3236119.733,298713.1393,3236119.733
"3058",5871,0,1921,24.89409188,297766.4375,3234578.949,297766.4375,3234591.396,297766.4375,3234603.843
"4263",8188,0,2282,36.28331223,298488.4375,3235348.886,298488.4375,3235367.028,298488.4375,3235385.17
"5637",9967,0,2440,35.42764463,298804.4375,3236608.084,298804.4375,3236625.798,298804.4375,3236643.512
"3476",6641,0,2138,34.11496294,298200.4375,3235448.609,298200.4375,3235465.667,298200.4375,3235482.724
"704",959,0,375,61.19967682,298712.2383,3235699.733,298742.8381,3235699.733,298773.438,3235699.733
"3345",6486,0,2093,29.137142,298110.4375,3235331.133,298110.4375,3235345.702,298110.4375,3235360.27
"4643",8795,0,2319,14.85894648,298562.4375,3236100.589,298562.4375,3236108.019,298562.4375,3236115.448
"4844",9108,0,2345,26.50001526,298614.4375,3236003.924,298614.4375,3236017.174,298614.4375,3236030.424
"1120",1450,0,475,122.619823,298529.5059,3235903.733,298590.8158,3235903.733,298652.1257,3235903.733
"4624",8771,0,2318,31.04899141,298560.4375,3235761.874,298560.4375,3235777.399,298560.4375,3235792.923
"4404",8454,0,2299,45.18985185,298522.4375,3236338.851,298522.4375,3236361.446,298522.4375,3236384.041
"167",166,0,124,22.68360949,298350.4443,3235167.733,298361.7861,3235167.733,298373.1279,3235167.733
"4752",8962,0,2331,10.43370868,298586.4375,3236042.409,298586.4375,3236047.626,298586.4375,3236052.843
"2421",3164,0,735,14.00610614,298435.4399,3236423.733,298442.443,3236423.733,298449.446,3236423.733
"187",186,0,138,13.1062404,297963.8617,3235195.733,297970.4148,3235195.733,297976.9679,3235195.733
"5570",9900,0,2431,29.90333041,298786.4375,3235906.374,298786.4375,3235921.325,298786.4375,3235936.277
"1725",2468,0,600,10.30154024,298712.2381,3236153.733,298717.3888,3236153.733,298722.5396,3236153.733
"5657",9987,0,2444,13.71850751,298812.4375,3235947.165,298812.4375,3235954.024,298812.4375,3235960.883
"2829",3572,0,900,15.98368086,298859.7868,3236753.733,298867.7786,3236753.733,298875.7705,3236753.733
"3387",6534,0,2110,15.99954276,298144.4375,3235707.807,298144.4375,3235715.806,298144.4375,3235723.806
"3063",5884,0,1923,44.4641778,297770.4375,3234686.032,297770.4375,3234708.265,297770.4375,3234730.497
"4632",8779,0,2318,25.798339,298560.4375,3236184.575,298560.4375,3236197.474,298560.4375,3236210.373
"3648",7002,0,2192,24.85961365,298308.4375,3235185.753,298308.4375,3235198.182,298308.4375,3235210.612
"1399",1952,0,533,29.90282978,298316.229,3236019.733,298331.1804,3236019.733,298346.1319,3236019.733
"4942",9234,0,2358,23.79102861,298640.4375,3235896.756,298640.4375,3235908.652,298640.4375,3235920.547
"3339",6480,0,2091,29.81360028,298106.4375,3235331.458,298106.4375,3235346.365,298106.4375,3235361.272
"5368",9670,0,2402,24.34991568,298728.4375,3236732.159,298728.4375,3236744.334,298728.4375,3236756.509
"4040",7658,0,2244,12.32339733,298412.4375,3236179.63,298412.4375,3236185.791,298412.4375,3236191.953
"3059",5872,0,1921,50.44179303,297766.4375,3234685.899,297766.4375,3234711.12,297766.4375,3234736.341
"3103",6035,0,1946,20.96216807,297816.4375,3234608.551,297816.4375,3234619.032,297816.4375,3234629.513
"826",1081,0,397,30.3458166,298832.1931,3235743.733,298847.366,3235743.733,298862.5389,3235743.733
"1488",2072,0,545,17.89211659,298710.7533,3236043.733,298719.6994,3236043.733,298728.6454,3236043.733
"488",606,0,303,13.2673269,298709.9833,3235555.733,298716.6169,3235555.733,298723.2506,3235555.733
"2214",2957,0,689,16.45076758,298396.0905,3236331.733,298404.3159,3236331.733,298412.5413,3236331.733
"157",156,0,116,58.5708839,298314.8335,3235123.733,298344.119,3235123.733,298373.4044,3235123.733
"1291",1774,0,515,26.44215164,298586.1731,3235983.733,298599.3942,3235983.733,298612.6152,3235983.733
"5803",10161,0,2479,42.06101965,298882.4375,3235775.37,298882.4375,3235796.401,298882.4375,3235817.432
"2671",3414,0,842,47.51456524,298792.1031,3236637.733,298815.8604,3236637.733,298839.6176,3236637.733
