"","FID","Id","ORIG_FID","LENGTH","START_X","START_Y","MID_X","MID_Y","END_X","END_Y"
"2068",5104,0,1568,17.29073232,297794.6926,3239225.733,297803.338,3239225.733,297811.9833,3239225.733
"1315",4351,0,1263,47.8868591,298310.5052,3238403.733,298334.4486,3238403.733,298358.392,3238403.733
"4424",10398,0,2583,22.76881984,299136.4375,3236007.159,299136.4375,3236018.544,299136.4375,3236029.928
"3055",6247,0,1999,10.94731089,297922.4375,3239198.725,297922.4375,3239204.198,297922.4375,3239209.672
"3884",8182,0,2281,12.59291793,298486.4375,3237759.26,298486.4375,3237765.557,298486.4375,3237771.853
"489",1816,0,519,15.45991629,299089.1437,3235991.733,299096.8737,3235991.733,299104.6036,3235991.733
"257",1258,0,437,26.51160568,299296.1996,3235823.733,299309.4554,3235823.733,299322.7112,3235823.733
"3647",7752,0,2252,26.43301558,298428.4375,3237141.012,298428.4375,3237154.229,298428.4375,3237167.445
"4110",8768,0,2317,17.20011092,298558.4375,3237794.331,298558.4375,3237802.931,298558.4375,3237811.531
"4544",10518,0,2615,13.60393712,299200.4375,3235881.322,299200.4375,3235888.124,299200.4375,3235894.926
"3906",8218,0,2283,19.42761791,298490.4375,3238579.399,298490.4375,3238589.113,298490.4375,3238598.826
"4182",9027,0,2336,16.87381361,298596.4375,3237271.614,298596.4375,3237280.051,298596.4375,3237288.488
"406",1624,0,495,42.08340733,299266.3815,3235943.733,299287.4232,3235943.733,299308.4649,3235943.733
"1304",4340,0,1255,10.66730316,298341.9806,3238387.733,298347.3142,3238387.733,298352.6479,3238387.733
"2384",5420,0,1712,14.30038619,297598.4911,3239561.733,297605.6413,3239561.733,297612.7915,3239561.733
"2536",5572,0,1833,19.23589236,297590.4375,3239400.839,297590.4375,3239410.457,297590.4375,3239420.075
"429",1672,0,503,89.31809796,299103.5202,3235959.733,299148.1792,3235959.733,299192.8383,3235959.733
"4750",10724,0,2666,20.08296707,299302.4375,3235849.212,299302.4375,3235859.253,299302.4375,3235869.295
"685",2335,0,574,63.48798675,299382.7647,3236101.733,299414.5087,3236101.733,299446.2527,3236101.733
"2708",5744,0,1889,23.0062824,297702.4375,3239621.302,297702.4375,3239632.805,297702.4375,3239644.308
"703",2376,0,580,10.04042338,299265.9501,3236113.733,299270.9703,3236113.733,299275.9905,3236113.733
"3569",7607,0,2239,29.74792109,298402.4375,3238598.352,298402.4375,3238613.226,298402.4375,3238628.1
"2538",5574,0,1834,20.07118647,297592.4375,3239399.604,297592.4375,3239409.64,297592.4375,3239419.675
"3724",7891,0,2263,19.50157554,298450.4375,3237189.508,298450.4375,3237199.258,298450.4375,3237209.009
"40",422,0,252,13.16681807,298864.9597,3235453.733,298871.5431,3235453.733,298878.1265,3235453.733
"1733",4769,0,1425,15.86322148,297453.3093,3238939.733,297461.2409,3238939.733,297469.1726,3238939.733
"1528",4564,0,1337,22.39327367,298213.9722,3238551.733,298225.1689,3238551.733,298236.3655,3238551.733
"4201",9085,0,2342,12.88095729,298608.4375,3237287.248,298608.4375,3237293.689,298608.4375,3237300.129
"4921",10895,0,2729,18.86935033,299428.4375,3236084.081,299428.4375,3236093.515,299428.4375,3236102.95
"1183",4219,0,1167,20.31487746,298551.7289,3237801.733,298561.8864,3237801.733,298572.0438,3237801.733
"1330",4366,0,1272,15.88171431,298424.705,3238421.733,298432.6458,3238421.733,298440.5867,3238421.733
"4232",10119,0,2472,31.12737142,298868.4375,3235507.643,298868.4375,3235523.206,298868.4375,3235538.77
"3863",8147,0,2279,12.31575364,298482.4375,3237776.005,298482.4375,3237782.163,298482.4375,3237788.321
"1408",4444,0,1295,61.46729453,298223.4252,3238467.733,298254.1589,3238467.733,298284.8925,3238467.733
"2545",5581,0,1837,22.57706883,297598.4375,3239395.898,297598.4375,3239407.187,297598.4375,3239418.475
"4243",10149,0,2477,88.8654294,298878.4375,3235505.24,298878.4375,3235549.673,298878.4375,3235594.106
"162",680,0,312,22.38619745,299080.4237,3235573.733,299091.6168,3235573.733,299102.8099,3235573.733
"1499",4535,0,1326,48.58874138,298285.0928,3238529.733,298309.3871,3238529.733,298333.6815,3238529.733
"1378",4414,0,1285,10.44805925,298294.0811,3238447.733,298299.3052,3238447.733,298304.5292,3238447.733
"2710",5746,0,1890,19.31066091,297704.4375,3239479.122,297704.4375,3239488.778,297704.4375,3239498.433
"91",551,0,295,32.9138589,299206.4602,3235539.733,299222.9172,3235539.733,299239.3741,3235539.733
"3706",7853,0,2260,13.20949214,298444.4375,3238078.849,298444.4375,3238085.453,298444.4375,3238092.058
"3541",7554,0,2235,26.92199209,298394.4375,3237180.003,298394.4375,3237193.464,298394.4375,3237206.925
"2726",5762,0,1896,17.90514393,297716.4375,3239626.211,297716.4375,3239635.163,297716.4375,3239644.116
"2479",5515,0,1780,15.83433739,297484.4375,3239317.519,297484.4375,3239325.436,297484.4375,3239333.353
"541",1948,0,532,18.30319465,299130.7029,3236017.733,299139.8545,3236017.733,299149.0061,3236017.733
"2914",6037,0,1946,20.15498569,297816.4375,3238986.958,297816.4375,3238997.035,297816.4375,3239007.113
"3048",6228,0,1993,14.28094024,297910.4375,3239194.761,297910.4375,3239201.902,297910.4375,3239209.042
"337",1500,0,480,30.80532737,299339.7443,3235913.733,299355.147,3235913.733,299370.5497,3235913.733
"2371",5407,0,1699,43.15134894,297781.8886,3239535.733,297803.4643,3239535.733,297825.04,3239535.733
"2102",5138,0,1584,13.10310689,297738.2742,3239257.733,297744.8258,3239257.733,297751.3773,3239257.733
"4053",8581,0,2307,17.98795772,298538.4375,3237217.571,298538.4375,3237226.565,298538.4375,3237235.559
"4475",10449,0,2598,106.5094185,299166.4375,3235900.481,299166.4375,3235953.736,299166.4375,3236006.991
"3769",7979,0,2269,13.07933678,298462.4375,3238099.945,298462.4375,3238106.484,298462.4375,3238113.024
"4382",10356,0,2570,65.68557685,299110.4375,3235899.408,299110.4375,3235932.251,299110.4375,3235965.093
"1913",4949,0,1512,23.3205058,297557.8058,3239113.733,297569.466,3239113.733,297581.1263,3239113.733
"302",1363,0,462,11.17323774,299202.8187,3235877.733,299208.4054,3235877.733,299213.992,3235877.733
"2232",5268,0,1648,13.7586369,298052.9098,3239433.733,298059.7892,3239433.733,298066.6685,3239433.733
"3019",6177,0,1981,24.2948261,297886.4375,3239025.193,297886.4375,3239037.341,297886.4375,3239049.488
"1639",4675,0,1385,15.42199603,298278.7046,3238647.733,298286.4156,3238647.733,298294.1266,3238647.733
"1359",4395,0,1278,21.07718963,298413.575,3238433.733,298424.1136,3238433.733,298434.6522,3238433.733
"3631",7722,0,2249,14.98841831,298422.4375,3238574.126,298422.4375,3238581.62,298422.4375,3238589.114
"3043",6213,0,1988,20.22633392,297900.4375,3239188.307,297900.4375,3239198.42,297900.4375,3239208.533
"1495",4531,0,1324,44.62200108,298290.3069,3238525.733,298312.6179,3238525.733,298334.9289,3238525.733
"4507",10481,0,2607,29.99157487,299184.4375,3235528.864,299184.4375,3235543.859,299184.4375,3235558.855
"4530",10504,0,2612,50.10935291,299194.4375,3235966.036,299194.4375,3235991.091,299194.4375,3236016.146
"2880",5987,0,1938,28.29726067,297800.4375,3239528.329,297800.4375,3239542.478,297800.4375,3239556.627
"3258",6866,0,2177,28.96325811,298278.4375,3238559.827,298278.4375,3238574.308,298278.4375,3238588.79
"382",1582,0,489,104.9156732,299085.3733,3235931.733,299137.8311,3235931.733,299190.2889,3235931.733
"2165",5201,0,1624,81.01010514,297632.273,3239385.733,297672.778,3239385.733,297713.2831,3239385.733
"4891",10865,0,2702,17.58123393,299374.4375,3235839.042,299374.4375,3235847.832,299374.4375,3235856.623
"2078",5114,0,1572,21.42416686,297633.42,3239233.733,297644.132,3239233.733,297654.8441,3239233.733
"4153",8926,0,2328,19.46425843,298580.4375,3237258.246,298580.4375,3237267.978,298580.4375,3237277.71
"3918",8244,0,2285,19.85604711,298494.4375,3237108.926,298494.4375,3237118.854,298494.4375,3237128.782
"1525",4561,0,1336,37.69356069,298279.5085,3238549.733,298298.3553,3238549.733,298317.2021,3238549.733
"1364",4400,0,1280,50.99601965,298176.3505,3238437.733,298201.8485,3238437.733,298227.3465,3238437.733
"949",3985,0,1039,11.39282136,298379.2559,3237219.733,298384.9523,3237219.733,298390.6487,3237219.733
"3440",7243,0,2210,13.20303829,298344.4375,3238469.915,298344.4375,3238476.517,298344.4375,3238483.118
"285",1322,0,455,22.70277053,299241.7083,3235863.733,299253.0597,3235863.733,299264.4111,3235863.733
"1648",4684,0,1389,33.21266616,298418.0368,3238655.733,298434.6432,3238655.733,298451.2495,3238655.733
"875",3911,0,1013,22.3528635,298405.4127,3237167.733,298416.5891,3237167.733,298427.7656,3237167.733
"226",825,0,344,36.26528064,299038.921,3235637.733,299057.0536,3235637.733,299075.1863,3235637.733
"4621",10595,0,2634,18.14335309,299238.4375,3236037.853,299238.4375,3236046.924,299238.4375,3236055.996
"3253",6859,0,2175,26.01117849,298274.4375,3238562.048,298274.4375,3238575.054,298274.4375,3238588.059
"3945",8285,0,2287,38.19903362,298498.4375,3238678.999,298498.4375,3238698.098,298498.4375,3238717.198
"1473",4509,0,1317,12.8575692,298439.1552,3238511.733,298445.584,3238511.733,298452.0128,3238511.733
"2",329,0,214,11.3618445,298873.9335,3235377.733,298879.6144,3235377.733,298885.2953,3235377.733
"4834",10808,0,2686,11.3385623,299342.4375,3236079.53,299342.4375,3236085.199,299342.4375,3236090.869
