FID,Id,ORIG_FID,LENGTH,START_X,START_Y,MID_X,MID_Y,END_X,END_Y
120,0,80,31.22850087,297755.7432,3234701.733,297771.3574,3234701.733,297786.9717,3234701.733
121,0,81,29.64479046,297756.974,3234703.733,297771.7963,3234703.733,297786.6187,3234703.733
122,0,82,28.06108005,297758.2047,3234705.733,297772.2353,3234705.733,297786.2658,3234705.733
123,0,83,28.46751516,297757.4453,3234707.733,297771.6791,3234707.733,297785.9129,3234707.733
124,0,84,28.47083231,297756.4453,3234709.733,297770.6808,3234709.733,297784.9162,3234709.733
125,0,85,28.34583231,297755.4453,3234711.733,297769.6183,3234711.733,297783.7912,3234711.733
126,0,86,28.22083231,297754.4453,3234713.733,297768.5558,3234713.733,297782.6662,3234713.733
127,0,87,29.54517558,297751.996,3234715.733,297766.7686,3234715.733,297781.5412,3234715.733
128,0,88,30.75513552,297749.3758,3234717.733,297764.7534,3234717.733,297780.131,3234717.733
129,0,89,30.62881973,297747.9021,3234719.733,297763.2166,3234719.733,297778.531,3234719.733
130,0,90,30.50250394,297746.4285,3234721.733,297761.6797,3234721.733,297776.931,3234721.733
131,0,91,30.37618815,297744.9548,3234723.733,297760.1429,3234723.733,297775.331,3234723.733
132,0,92,30.24987236,297743.4811,3234725.733,297758.606,3234725.733,297773.731,3234725.733
133,0,93,29.63945119,297742.586,3234727.733,297757.4057,3234727.733,297772.2254,3234727.733
134,0,94,27.94533355,297742.986,3234729.733,297756.9586,3234729.733,297770.9313,3234729.733
135,0,95,26.2512159,297743.386,3234731.733,297756.5116,3234731.733,297769.6372,3234731.733
136,0,96,24.55709825,297743.786,3234733.733,297756.0645,3234733.733,297768.3431,3234733.733
137,0,97,22.86298061,297744.186,3234735.733,297755.6174,3234735.733,297767.0489,3234735.733
138,0,98,19.62347057,297744.586,3234737.733,297754.3977,3234737.733,297764.2094,3234737.733
139,0,99,15.63312279,297744.986,3234739.733,297752.8025,3234739.733,297760.6191,3234739.733
140,0,100,8.039880373,297748.5792,3234741.733,297752.5991,3234741.733,297756.6191,3234741.733
141,0,101,3.796831914,298338.1052,3235093.733,298340.0036,3235093.733,298341.902,3235093.733
142,0,102,14.18999431,298333.4898,3235095.733,298340.5848,3235095.733,298347.6798,3235095.733
143,0,103,20.99002674,298329.3735,3235097.733,298339.8686,3235097.733,298350.3636,3235097.733
144,0,104,25.54002674,298327.0735,3235099.733,298339.8436,3235099.733,298352.6136,3235099.733
145,0,105,30.09002673,298324.7735,3235101.733,298339.8186,3235101.733,298354.8636,3235101.733
146,0,106,34.64002673,298322.4735,3235103.733,298339.7936,3235103.733,298357.1136,3235103.733
147,0,107,37.75289652,298321.3836,3235105.733,298340.2601,3235105.733,298359.1365,3235105.733
148,0,108,40.72063846,298320.4159,3235107.733,298340.7762,3235107.733,298361.1365,3235107.733
149,0,109,43.6883804,298319.4481,3235109.733,298341.2923,3235109.733,298363.1365,3235109.733
150,0,110,46.81344981,298318.4804,3235111.733,298341.8871,3235111.733,298365.2938,3235111.733
151,0,111,51.28119175,298317.5126,3235113.733,298343.1532,3235113.733,298368.7938,3235113.733
152,0,112,55.3957879,298316.898,3235115.733,298344.5959,3235115.733,298372.2938,3235115.733
153,0,113,58.18779329,298316.3819,3235117.733,298345.4758,3235117.733,298374.5697,3235117.733
154,0,114,59.53725566,298315.8658,3235119.733,298345.6344,3235119.733,298375.403,3235119.733
155,0,115,59.70692878,298315.3497,3235121.733,298345.2031,3235121.733,298375.0566,3235121.733
156,0,116,58.5708839,298314.8335,3235123.733,298344.119,3235123.733,298373.4044,3235123.733
157,0,117,19.64569417,298316.2697,3235125.733,298326.0926,3235125.733,298335.9154,3235125.733
158,0,117,17.10387467,298354.6484,3235125.733,298363.2003,3235125.733,298371.7522,3235125.733
159,0,118,6.157128317,298318.7313,3235127.733,298321.8098,3235127.733,298324.8884,3235127.733
160,0,118,3.961858446,298366.1382,3235127.733,298368.1191,3235127.733,298370.1001,3235127.733
161,0,119,5.777408963,298366.3637,3235157.733,298369.2524,3235157.733,298372.1411,3235157.733
162,0,120,10.38961457,298362.0848,3235159.733,298367.2796,3235159.733,298372.4744,3235159.733
163,0,121,13.99758864,298358.7907,3235161.733,298365.7895,3235161.733,298372.7883,3235161.733
164,0,122,17.22807685,298355.6734,3235163.733,298364.2874,3235163.733,298372.9015,3235163.733
165,0,123,20.2212844,298352.7934,3235165.733,298362.904,3235165.733,298373.0147,3235165.733
