"","Date.Time","Water.Level","Sigma","O","F","R","L","Quality"
"5162","2012-12-22 12:06",-0.082,0.007,0,0,0,0,"v"
"5163","2012-12-22 12:12",-0.049,0.007,0,0,0,0,"v"
"5164","2012-12-22 12:18",-0.02,0.007,0,0,0,0,"v"
"6350","2012-12-27 10:54",-0.052,0.007,0,0,0,0,"v"
"6351","2012-12-27 11:00",-0.108,0.007,0,0,0,0,"v"
"6352","2012-12-27 11:06",-0.177,0.01,0,0,0,0,"v"
"6353","2012-12-27 11:12",-0.249,0.01,0,0,0,0,"v"
"6354","2012-12-27 11:18",-0.325,0.01,0,0,0,0,"v"
"6355","2012-12-27 11:24",-0.397,0.01,0,0,0,0,"v"
"6356","2012-12-27 11:30",-0.449,0.007,0,0,0,0,"v"
"6357","2012-12-27 11:36",-0.486,0.003,0,0,0,0,"v"
"6358","2012-12-27 11:42",-0.512,0.003,0,0,0,0,"v"
"6359","2012-12-27 11:48",-0.538,0.003,0,0,0,0,"v"
"6360","2012-12-27 11:54",-0.554,0.003,0,0,0,0,"v"
"6361","2012-12-27 12:00",-0.581,0.003,0,0,0,0,"v"
"6362","2012-12-27 12:06",-0.614,0.003,0,0,0,0,"v"
"6363","2012-12-27 12:12",-0.63,0.003,0,0,0,0,"v"
"6364","2012-12-27 12:18",-0.636,0,0,0,0,0,"v"
"6365","2012-12-27 12:24",-0.633,0,0,0,0,0,"v"
"6366","2012-12-27 12:30",-0.623,0.003,0,0,0,0,"v"
"6367","2012-12-27 12:36",-0.62,0,0,0,0,0,"v"
"6368","2012-12-27 12:42",-0.617,0.003,0,0,0,0,"v"
"6369","2012-12-27 12:48",-0.597,0.003,0,0,0,0,"v"
"6370","2012-12-27 12:54",-0.551,0.007,0,0,0,0,"v"
"6371","2012-12-27 13:00",-0.499,0.007,0,0,0,0,"v"
"6372","2012-12-27 13:06",-0.479,0.003,0,0,0,0,"v"
"6373","2012-12-27 13:12",-0.469,0.01,0,0,0,0,"v"
"6374","2012-12-27 13:18",-0.44,0.003,0,0,0,0,"v"
"6375","2012-12-27 13:24",-0.397,0.007,0,0,0,0,"v"
"6376","2012-12-27 13:30",-0.364,0.003,0,0,0,0,"v"
