FID,Id,POINT_X,POINT_Y,STATION
263,0,296688.3224,3235427.633,LCO22
264,0,296690.3224,3235427.633,LCO22
265,0,296692.3224,3235427.633,LCO22
266,0,296694.3224,3235427.633,LCO22
267,0,296684.3224,3235429.633,LCO22
268,0,296686.3224,3235429.633,LCO22
269,0,296688.3224,3235429.633,LCO22
270,0,296690.3224,3235429.633,LCO22
271,0,296692.3224,3235429.633,LCO22
272,0,296682.3224,3235431.633,LCO22
273,0,296684.3224,3235431.633,LCO22
274,0,296686.3224,3235431.633,LCO22
275,0,296688.3224,3235431.633,LCO22
276,0,296690.3224,3235431.633,LCO22
277,0,296692.3224,3235431.633,LCO22
278,0,296682.3224,3235433.633,LCO22
279,0,296684.3224,3235433.633,LCO22
280,0,296686.3224,3235433.633,LCO22
281,0,296688.3224,3235433.633,LCO22
282,0,296690.3224,3235433.633,LCO22
283,0,296680.3224,3235435.633,LCO22
284,0,296682.3224,3235435.633,LCO22
285,0,296684.3224,3235435.633,LCO22
286,0,296686.3224,3235435.633,LCO22
287,0,296688.3224,3235435.633,LCO22
288,0,296690.3224,3235435.633,LCO22
289,0,296680.3224,3235437.633,LCO22
290,0,296682.3224,3235437.633,LCO22
291,0,296684.3224,3235437.633,LCO22
292,0,296686.3224,3235437.633,LCO22
293,0,296688.3224,3235437.633,LCO22
294,0,296678.3224,3235439.633,LCO22
295,0,296680.3224,3235439.633,LCO22
296,0,296682.3224,3235439.633,LCO22
297,0,296684.3224,3235439.633,LCO22
298,0,296686.3224,3235439.633,LCO22
299,0,296688.3224,3235439.633,LCO22
300,0,296678.3224,3235441.633,LCO22
301,0,296680.3224,3235441.633,LCO22
302,0,296682.3224,3235441.633,LCO22
303,0,296684.3224,3235441.633,LCO22
304,0,296686.3224,3235441.633,LCO22
305,0,296676.3224,3235443.633,LCO22
306,0,296678.3224,3235443.633,LCO22
307,0,296680.3224,3235443.633,LCO22
308,0,296682.3224,3235443.633,LCO22
309,0,296684.3224,3235443.633,LCO22
310,0,296676.3224,3235445.633,LCO22
311,0,296678.3224,3235445.633,LCO22
312,0,296680.3224,3235445.633,LCO22
313,0,296682.3224,3235445.633,LCO22
314,0,296684.3224,3235445.633,LCO22
315,0,296674.3224,3235447.633,LCO22
316,0,296676.3224,3235447.633,LCO22
317,0,296678.3224,3235447.633,LCO22
318,0,296680.3224,3235447.633,LCO22
319,0,296682.3224,3235447.633,LCO22
320,0,296674.3224,3235449.633,LCO22
321,0,296676.3224,3235449.633,LCO22
322,0,296678.3224,3235449.633,LCO22
323,0,296680.3224,3235449.633,LCO22
324,0,296682.3224,3235449.633,LCO22
325,0,296672.3224,3235451.633,LCO22
326,0,296674.3224,3235451.633,LCO22
327,0,296676.3224,3235451.633,LCO22
328,0,296678.3224,3235451.633,LCO22
329,0,296680.3224,3235451.633,LCO22
330,0,296672.3224,3235453.633,LCO22
331,0,296674.3224,3235453.633,LCO22
332,0,296676.3224,3235453.633,LCO22
333,0,296678.3224,3235453.633,LCO22
334,0,296680.3224,3235453.633,LCO22
335,0,296670.3224,3235455.633,LCO22
336,0,296672.3224,3235455.633,LCO22
337,0,296674.3224,3235455.633,LCO22
338,0,296676.3224,3235455.633,LCO22
339,0,296678.3224,3235455.633,LCO22
340,0,296670.3224,3235457.633,LCO22
341,0,296672.3224,3235457.633,LCO22
342,0,296674.3224,3235457.633,LCO22
343,0,296676.3224,3235457.633,LCO22
344,0,296678.3224,3235457.633,LCO22
345,0,296668.3224,3235459.633,LCO22
346,0,296670.3224,3235459.633,LCO22
347,0,296672.3224,3235459.633,LCO22
348,0,296674.3224,3235459.633,LCO22
349,0,296676.3224,3235459.633,LCO22
350,0,296668.3224,3235461.633,LCO22
351,0,296670.3224,3235461.633,LCO22
352,0,296672.3224,3235461.633,LCO22
353,0,296674.3224,3235461.633,LCO22
354,0,296676.3224,3235461.633,LCO22
355,0,296666.3224,3235463.633,LCO22
356,0,296668.3224,3235463.633,LCO22
357,0,296670.3224,3235463.633,LCO22
358,0,296672.3224,3235463.633,LCO22
359,0,296674.3224,3235463.633,LCO22
360,0,296666.3224,3235465.633,LCO22
361,0,296668.3224,3235465.633,LCO22
362,0,296670.3224,3235465.633,LCO22
363,0,296672.3224,3235465.633,LCO22
364,0,296674.3224,3235465.633,LCO22
365,0,296664.3224,3235467.633,LCO22
366,0,296666.3224,3235467.633,LCO22
367,0,296668.3224,3235467.633,LCO22
368,0,296670.3224,3235467.633,LCO22
369,0,296672.3224,3235467.633,LCO22
370,0,296664.3224,3235469.633,LCO22
371,0,296666.3224,3235469.633,LCO22
372,0,296668.3224,3235469.633,LCO22
373,0,296670.3224,3235469.633,LCO22
374,0,296672.3224,3235469.633,LCO22
375,0,296662.3224,3235471.633,LCO22
376,0,296664.3224,3235471.633,LCO22
377,0,296666.3224,3235471.633,LCO22
378,0,296668.3224,3235471.633,LCO22
379,0,296670.3224,3235471.633,LCO22
380,0,296662.3224,3235473.633,LCO22
381,0,296664.3224,3235473.633,LCO22
382,0,296666.3224,3235473.633,LCO22
383,0,296668.3224,3235473.633,LCO22
384,0,296670.3224,3235473.633,LCO22
385,0,296660.3224,3235475.633,LCO22
386,0,296662.3224,3235475.633,LCO22
387,0,296664.3224,3235475.633,LCO22
388,0,296666.3224,3235475.633,LCO22
389,0,296668.3224,3235475.633,LCO22
390,0,296658.3224,3235477.633,LCO22
391,0,296660.3224,3235477.633,LCO22
392,0,296662.3224,3235477.633,LCO22
393,0,296664.3224,3235477.633,LCO22
394,0,296666.3224,3235477.633,LCO22
395,0,296668.3224,3235477.633,LCO22
396,0,296658.3224,3235479.633,LCO22
397,0,296660.3224,3235479.633,LCO22
398,0,296662.3224,3235479.633,LCO22
