FID,point,elev_ft,transect,element,type,F8,POINT_X,POINT_Y,POINT_Z,POINT_M
72,489.000000000000000,-1.790000000000000,5.000000000000000,2.000000000000000,ROCK TOP, ,294381.680105999990000,3239242.734490000200000,-1.790000000000000,1.000000000000000
73,490.000000000000000,-1.700000000000000,5.000000000000000,2.000000000000000,ROCK TOP, ,294380.918695000000000,3239242.095989999800000,-1.700000000000000,1.000000000000000
74,491.000000000000000,-1.612000000000000,5.000000000000000,2.000000000000000,ROCK TOP, ,294379.910535999980000,3239241.154769999900000,-1.612000000000000,1.000000000000000
75,492.000000000000000,-1.405000000000000,5.000000000000000,2.000000000000000,ROCK TOP, ,294379.041964999980000,3239240.246799999800000,-1.405000000000000,1.000000000000000
76,493.000000000000000,-1.432000000000000,5.000000000000000,2.000000000000000,ROCK TOP, ,294377.806654000010000,3239239.084390000000000,-1.432000000000000,1.000000000000000
77,494.000000000000000,-1.437000000000000,5.000000000000000,2.000000000000000,GS, ,294377.099232000010000,3239238.378670000000000,-1.437000000000000,1.000000000000000
78,495.000000000000000,-1.135000000000000,5.000000000000000,2.000000000000000,GS, ,294375.930882000020000,3239240.132230000100000,-1.135000000000000,1.000000000000000
79,496.000000000000000,-1.312000000000000,5.000000000000000,2.000000000000000,ROCK TOP, ,294376.918527000000000,3239241.276939999800000,-1.312000000000000,1.000000000000000
80,497.000000000000000,-1.950000000000000,3.000000000000000,3.000000000000000,GS, ,294406.785482999990000,3239185.346109999800000,-1.950000000000000,1.000000000000000
81,498.000000000000000,-2.143000000000000,3.000000000000000,3.000000000000000,GS, ,294405.997794999970000,3239184.914500000000000,-2.143000000000000,1.000000000000000
82,499.000000000000000,-1.430000000000000,3.000000000000000,3.000000000000000,ROCK TOP, ,294405.678190000010000,3239184.611180000000000,-1.430000000000000,1.000000000000000
83,736.000000000000000,-1.341000000000000,3.000000000000000,3.000000000000000,ROCK TOP, ,294405.258427000020000,3239184.430050000100000,-1.341000000000000,1.000000000000000
84,737.000000000000000,-1.473000000000000,3.000000000000000,3.000000000000000,ROCK TOP, ,294404.829160999970000,3239184.206919999800000,-1.473000000000000,1.000000000000000
85,738.000000000000000,-1.024000000000000,3.000000000000000,3.000000000000000,ROCK TOP, ,294404.166857999980000,3239183.930310000200000,-1.024000000000000,1.000000000000000
86,739.000000000000000,-1.286000000000000,3.000000000000000,3.000000000000000,ROCK TOP, ,294403.422086999980000,3239183.705610000100000,-1.286000000000000,1.000000000000000
87,740.000000000000000,-1.382000000000000,3.000000000000000,3.000000000000000,ROCK TOP, ,294402.610992999980000,3239183.460150000200000,-1.382000000000000,1.000000000000000
88,741.000000000000000,-1.354000000000000,3.000000000000000,3.000000000000000,ROCK TOP, ,294402.051090000020000,3239183.466750000100000,-1.354000000000000,1.000000000000000
89,742.000000000000000,-1.302000000000000,3.000000000000000,3.000000000000000,ROCK TOP, ,294401.277686999990000,3239183.137440000200000,-1.302000000000000,1.000000000000000
90,743.000000000000000,-1.352000000000000,3.000000000000000,3.000000000000000,ROCK TOP, ,294400.388479000020000,3239182.704260000000000,-1.352000000000000,1.000000000000000
91,744.000000000000000,-1.554000000000000,3.000000000000000,3.000000000000000,ROCK TOP, ,294400.166351000020000,3239182.357439999900000,-1.554000000000000,1.000000000000000
92,745.000000000000000,-1.369000000000000,3.000000000000000,3.000000000000000,ROCK TOP, ,294399.748064999990000,3239181.885180000200000,-1.369000000000000,1.000000000000000
93,746.000000000000000,-1.175000000000000,3.000000000000000,3.000000000000000,ROCK TOP, ,294399.119184000010000,3239181.881409999900000,-1.175000000000000,1.000000000000000
94,747.000000000000000,-1.897000000000000,3.000000000000000,3.000000000000000,GS, ,294398.372340000000000,3239181.556750000000000,-1.897000000000000,1.000000000000000
95,748.000000000000000,-1.927000000000000,3.000000000000000,3.000000000000000,GS, ,294397.757904000000000,3239181.281250000000000,-1.927000000000000,1.000000000000000
96,749.000000000000000,-1.956000000000000,3.000000000000000,3.000000000000000,GS, ,294398.703446000000000,3239180.565080000100000,-1.956000000000000,1.000000000000000
97,750.000000000000000,-1.432000000000000,3.000000000000000,3.000000000000000,ROCK TOP, ,294399.311952000020000,3239180.860129999900000,-1.432000000000000,1.000000000000000
98,751.000000000000000,-2.297000000000000,4.000000000000000,3.000000000000000,GS, ,294403.296848999980000,3239170.607540000200000,-2.297000000000000,1.000000000000000
99,752.000000000000000,-2.119000000000000,1.000000000000000,3.000000000000000,GS, ,294403.363690000030000,3239193.503409999900000,-2.119000000000000,1.000000000000000
100,753.000000000000000,-1.359000000000000,1.000000000000000,3.000000000000000,ROCK TOP, ,294402.838315000000000,3239193.555449999900000,-1.359000000000000,1.000000000000000
101,754.000000000000000,-1.595000000000000,1.000000000000000,3.000000000000000,ROCK TOP, ,294402.337910000000000,3239192.890329999800000,-1.595000000000000,1.000000000000000
102,755.000000000000000,-1.654000000000000,1.000000000000000,3.000000000000000,ROCK TOP, ,294401.269673999980000,3239192.267250000000000,-1.654000000000000,1.000000000000000
103,756.000000000000000,-1.622000000000000,1.000000000000000,3.000000000000000,ROCK TOP, ,294400.097274000000000,3239191.725529999900000,-1.622000000000000,1.000000000000000
104,757.000000000000000,-1.524000000000000,1.000000000000000,3.000000000000000,ROCK TOP, ,294399.384983000000000,3239191.806299999800000,-1.524000000000000,1.000000000000000
105,758.000000000000000,-1.574000000000000,1.000000000000000,3.000000000000000,ROCK TOP, ,294398.577712000000000,3239191.366010000000000,-1.574000000000000,1.000000000000000
106,759.000000000000000,-1.512000000000000,1.000000000000000,3.000000000000000,ROCK TOP, ,294397.440943999970000,3239191.213250000000000,-1.512000000000000,1.000000000000000
107,760.000000000000000,-1.360000000000000,1.000000000000000,3.000000000000000,ROCK TOP, ,294396.752503999970000,3239190.910040000000000,-1.360000000000000,1.000000000000000
108,761.000000000000000,-1.510000000000000,1.000000000000000,3.000000000000000,ROCK TOP, ,294396.177045000020000,3239190.272690000000000,-1.510000000000000,1.000000000000000
109,762.000000000000000,-1.405000000000000,1.000000000000000,3.000000000000000,ROCK TOP, ,294395.648851000010000,3239189.816000000100000,-1.405000000000000,1.000000000000000
110,763.000000000000000,-1.386000000000000,1.000000000000000,3.000000000000000,ROCK TOP, ,294395.146115000010000,3239189.306359999800000,-1.386000000000000,1.000000000000000
111,764.000000000000000,-1.732000000000000,1.000000000000000,3.000000000000000,ROCK TOP, ,294394.474428999990000,3239188.751830000000000,-1.732000000000000,1.000000000000000
112,765.000000000000000,-1.904000000000000,1.000000000000000,3.000000000000000,GS, ,294394.240622000010000,3239188.572459999900000,-1.904000000000000,1.000000000000000
113,766.000000000000000,-1.960000000000000,2.000000000000000,3.000000000000000,GS, ,294397.092822999980000,3239183.713930000100000,-1.960000000000000,1.000000000000000
114,767.000000000000000,-1.756000000000000,2.000000000000000,3.000000000000000,ROCK TOP, ,294398.033119999980000,3239183.811670000200000,-1.756000000000000,1.000000000000000
115,768.000000000000000,-1.709000000000000,2.000000000000000,3.000000000000000,ROCK TOP, ,294398.794470999970000,3239184.193210000200000,-1.709000000000000,1.000000000000000
116,769.000000000000000,-1.747000000000000,2.000000000000000,3.000000000000000,ROCK TOP, ,294399.927455000000000,3239184.331069999800000,-1.747000000000000,1.000000000000000
117,770.000000000000000,-1.627000000000000,2.000000000000000,3.000000000000000,ROCK TOP, ,294400.577005000030000,3239184.899199999900000,-1.627000000000000,1.000000000000000
118,771.000000000000000,-1.704000000000000,2.000000000000000,3.000000000000000,ROCK TOP, ,294401.309733000000000,3239185.070050000200000,-1.704000000000000,1.000000000000000
119,772.000000000000000,-1.477000000000000,2.000000000000000,3.000000000000000,ROCK TOP, ,294402.525927999990000,3239185.600120000100000,-1.477000000000000,1.000000000000000
120,773.000000000000000,-1.679000000000000,2.000000000000000,3.000000000000000,ROCK TOP, ,294403.469764999990000,3239185.826770000200000,-1.679000000000000,1.000000000000000
121,774.000000000000000,-1.455000000000000,2.000000000000000,3.000000000000000,ROCK TOP, ,294403.927176000030000,3239186.168839999900000,-1.455000000000000,1.000000000000000
