FID,Shape,Id,POINT_X,POINT_Y,STATION
43277,Point,0,298481.4375,3237718.734,NNI2
43278,Point,0,298483.4375,3237718.734,NNI2
43283,Point,0,298463.4375,3237720.734,NNI2
43284,Point,0,298465.4375,3237720.734,NNI2
43285,Point,0,298467.4375,3237720.734,NNI2
43286,Point,0,298469.4375,3237720.734,NNI2
43287,Point,0,298471.4375,3237720.734,NNI2
43288,Point,0,298473.4375,3237720.734,NNI2
43289,Point,0,298475.4375,3237720.734,NNI2
43290,Point,0,298477.4375,3237720.734,NNI2
43291,Point,0,298479.4375,3237720.734,NNI2
43296,Point,0,298465.4375,3237722.734,NNI2
43297,Point,0,298467.4375,3237722.734,NNI2
43298,Point,0,298469.4375,3237722.734,NNI2
43299,Point,0,298471.4375,3237722.734,NNI2
43300,Point,0,298473.4375,3237722.734,NNI2
42622,Point,0,298407.4375,3237650.734,NNI3
42623,Point,0,298409.4375,3237650.734,NNI3
42631,Point,0,298409.4375,3237652.734,NNI3
42632,Point,0,298411.4375,3237652.734,NNI3
42640,Point,0,298399.4375,3237654.734,NNI3
42641,Point,0,298401.4375,3237654.734,NNI3
42642,Point,0,298403.4375,3237654.734,NNI3
42643,Point,0,298405.4375,3237654.734,NNI3
42644,Point,0,298407.4375,3237654.734,NNI3
42645,Point,0,298409.4375,3237654.734,NNI3
42646,Point,0,298411.4375,3237654.734,NNI3
42654,Point,0,298399.4375,3237656.734,NNI3
42655,Point,0,298401.4375,3237656.734,NNI3
42656,Point,0,298403.4375,3237656.734,NNI3
42657,Point,0,298405.4375,3237656.734,NNI3
42658,Point,0,298407.4375,3237656.734,NNI3
42659,Point,0,298409.4375,3237656.734,NNI3
42660,Point,0,298411.4375,3237656.734,NNI3
42668,Point,0,298399.4375,3237658.734,NNI3
42669,Point,0,298401.4375,3237658.734,NNI3
42670,Point,0,298403.4375,3237658.734,NNI3
42671,Point,0,298405.4375,3237658.734,NNI3
42672,Point,0,298407.4375,3237658.734,NNI3
42673,Point,0,298409.4375,3237658.734,NNI3
42674,Point,0,298411.4375,3237658.734,NNI3
42682,Point,0,298399.4375,3237660.734,NNI3
42683,Point,0,298401.4375,3237660.734,NNI3
42684,Point,0,298403.4375,3237660.734,NNI3
42685,Point,0,298405.4375,3237660.734,NNI3
42686,Point,0,298407.4375,3237660.734,NNI3
42687,Point,0,298409.4375,3237660.734,NNI3
42688,Point,0,298411.4375,3237660.734,NNI3
42697,Point,0,298399.4375,3237662.734,NNI3
42698,Point,0,298401.4375,3237662.734,NNI3
42699,Point,0,298403.4375,3237662.734,NNI3
42700,Point,0,298405.4375,3237662.734,NNI3
