FID,Id,station,POINT_X,POINT_Y
176,0,LCN10,297753.4375,3234654.733
177,0,LCN10,297755.4375,3234654.733
178,0,LCN10,297757.4375,3234654.733
179,0,LCN10,297759.4375,3234654.733
180,0,LCN10,297761.4375,3234654.733
181,0,LCN10,297733.4375,3234656.733
182,0,LCN10,297735.4375,3234656.733
183,0,LCN10,297737.4375,3234656.733
184,0,LCN10,297739.4375,3234656.733
185,0,LCN10,297741.4375,3234656.733
186,0,LCN10,297743.4375,3234656.733
187,0,LCN10,297745.4375,3234656.733
188,0,LCN10,297747.4375,3234656.733
189,0,LCN10,297749.4375,3234656.733
190,0,LCN10,297751.4375,3234656.733
191,0,LCN10,297753.4375,3234656.733
192,0,LCN10,297755.4375,3234656.733
193,0,LCN10,297757.4375,3234656.733
194,0,LCN10,297759.4375,3234656.733
195,0,LCN10,297761.4375,3234656.733
196,0,LCN10,297731.4375,3234658.733
197,0,LCN10,297733.4375,3234658.733
198,0,LCN10,297735.4375,3234658.733
199,0,LCN10,297737.4375,3234658.733
200,0,LCN10,297739.4375,3234658.733
201,0,LCN10,297741.4375,3234658.733
202,0,LCN10,297743.4375,3234658.733
203,0,LCN10,297745.4375,3234658.733
204,0,LCN10,297747.4375,3234658.733
205,0,LCN10,297749.4375,3234658.733
206,0,LCN10,297751.4375,3234658.733
207,0,LCN10,297753.4375,3234658.733
208,0,LCN10,297755.4375,3234658.733
209,0,LCN10,297757.4375,3234658.733
210,0,LCN10,297759.4375,3234658.733
211,0,LCN10,297733.4375,3234660.733
212,0,LCN10,297735.4375,3234660.733
213,0,LCN10,297737.4375,3234660.733
214,0,LCN10,297739.4375,3234660.733
215,0,LCN10,297741.4375,3234660.733
216,0,LCN10,297743.4375,3234660.733
217,0,LCN10,297745.4375,3234660.733
218,0,LCN10,297747.4375,3234660.733
219,0,LCN10,297749.4375,3234660.733
220,0,LCN10,297751.4375,3234660.733
221,0,LCN10,297753.4375,3234660.733
222,0,LCN10,297755.4375,3234660.733
223,0,LCN10,297757.4375,3234660.733
224,0,LCN10,297759.4375,3234660.733
225,0,LCN10,297733.4375,3234662.733
226,0,LCN10,297735.4375,3234662.733
227,0,LCN10,297737.4375,3234662.733
228,0,LCN10,297739.4375,3234662.733
229,0,LCN10,297741.4375,3234662.733
230,0,LCN10,297743.4375,3234662.733
231,0,LCN10,297745.4375,3234662.733
232,0,LCN10,297747.4375,3234662.733
233,0,LCN10,297749.4375,3234662.733
234,0,LCN10,297751.4375,3234662.733
235,0,LCN10,297753.4375,3234662.733
236,0,LCN10,297755.4375,3234662.733
237,0,LCN10,297757.4375,3234662.733
238,0,LCN10,297759.4375,3234662.733
239,0,LCN10,297733.4375,3234664.733
240,0,LCN10,297735.4375,3234664.733
241,0,LCN10,297737.4375,3234664.733
242,0,LCN10,297739.4375,3234664.733
243,0,LCN10,297741.4375,3234664.733
244,0,LCN10,297743.4375,3234664.733
245,0,LCN10,297745.4375,3234664.733
246,0,LCN10,297747.4375,3234664.733
247,0,LCN10,297749.4375,3234664.733
248,0,LCN10,297751.4375,3234664.733
249,0,LCN10,297753.4375,3234664.733
250,0,LCN10,297755.4375,3234664.733
