"","point","bar","station","date","POINT_X","POINT_Y","locality","site","elev_m"
"3652","PC663",NA,NA,"9/6/2017 0:00",295443.3977,3238096.839,"LC","O",-1.252728
"3653","PC664",NA,NA,"9/6/2017 0:00",295470.2797,3238077.878,"LC","O",-1.274064
"3654","PC665",NA,NA,"9/6/2017 0:00",295464.9034,3238074.394,"LC","O",-1.17348
"3655","PC666",NA,NA,"9/6/2017 0:00",295461.6921,3238068.862,"LC","O",-0.963168
"3656","PC667",NA,NA,"9/6/2017 0:00",295457.3634,3238064.546,"LC","O",-0.551688
"3657","PC668",NA,NA,"9/6/2017 0:00",295452.7168,3238060.486,"LC","O",-0.57912
"3658","PC669",NA,NA,"9/6/2017 0:00",295448.3473,3238055.683,"LC","O",-0.597408
"3659","PC67",NA,NA,"9/5/2017 0:00",294343.1291,3239260.499,"LC","O",-0.996696
"3660","PC672",NA,NA,"9/6/2017 0:00",295433.2409,3238045.036,"LC","O",-0.682752
"3661","PC673",NA,NA,"9/6/2017 0:00",295429.1022,3238040.487,"LC","O",-0.667512
"3662","PC674",NA,NA,"9/6/2017 0:00",295426.1323,3238034.663,"LC","O",-0.691896
"3663","PC675",NA,NA,"9/6/2017 0:00",295421.8999,3238030.2,"LC","O",-0.707136
"3664","PC676",NA,NA,"9/6/2017 0:00",295416.9937,3238026.44,"LC","O",-0.707136
"3665","PC677",NA,NA,"9/6/2017 0:00",295501.2416,3237885.512,"LC","O",-0.829056
"3666","PC678",NA,NA,"9/6/2017 0:00",295506.1291,3237889.229,"LC","O",-0.801624
"3667","PC679",NA,NA,"9/6/2017 0:00",295509.822,3237894.398,"LC","O",-0.789432
"3668","PC68",NA,NA,"9/5/2017 0:00",294348.1609,3239263.973,"LC","O",-0.844296
"3669","PC680",NA,NA,"9/6/2017 0:00",295512.6478,3237900.489,"LC","O",-0.780288
"3670","PC681",NA,NA,"9/6/2017 0:00",295517.2192,3237904.662,"LC","O",-0.786384
"3671","PC682",NA,NA,"9/6/2017 0:00",295523.7782,3237906.362,"LC","O",-0.758952
"3672","PC683",NA,NA,"9/6/2017 0:00",295530.1025,3237908.417,"LC","O",-0.728472
